number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_num_seeds_per_spm,params_seed_impactMax,params_seed_minPt,params_seed_sigmaScattering,system_attrs_NSGAIISampler:generation,state
50,55.276453495025635,28.921395540237427,0.0,108.32834315299988,2026-07-22 00:58:33.241112,2026-07-22 01:00:26.395284,0 days 00:01:53.154172,48,5.289064082946904,1.3045235964350037,9.19481665138699,0,COMPLETE
51,80.09239435195923,31.886401772499084,0.0,135.28947472572327,2026-07-22 00:58:45.053471,2026-07-22 01:01:02.410258,0 days 00:02:17.356787,29,9.641793287341315,0.8284209608081252,9.0723150666243,0,COMPLETE
52,53.457486629486084,28.453192114830017,0.0,92.40654063224792,2026-07-22 00:59:09.278332,2026-07-22 01:00:43.492892,0 days 00:01:34.214560,37,8.212658721394517,1.1611929532897913,2.4132450933394125,0,COMPLETE
53,60.25696396827698,27.185431122779846,0.0,123.82040786743164,2026-07-22 00:59:10.160025,2026-07-22 01:01:15.720420,0 days 00:02:05.560395,30,8.604058594879545,1.1873973512144544,8.561014155528138,0,COMPLETE
54,69.0342128276825,38.665369153022766,0.0,105.93197822570801,2026-07-22 00:59:10.306658,2026-07-22 01:00:59.772686,0 days 00:01:49.466028,57,6.124365976944742,0.9496260091848987,2.435186329044254,0,COMPLETE
55,66.23358130455017,22.49472141265869,0.0,101.08001613616943,2026-07-22 00:59:12.206486,2026-07-22 01:00:57.374864,0 days 00:01:45.168378,38,1.4220522167562066,1.046156173461407,8.144608773717374,0,COMPLETE
56,37.53428757190704,18.708905577659607,0.0,86.57772302627563,2026-07-22 00:59:56.664272,2026-07-22 01:01:24.780634,0 days 00:01:28.116362,49,3.152835549826774,1.6713623112545761,7.999931297331015,0,COMPLETE
57,88.89851570129395,25.781428813934326,0.0,64.32070231437683,2026-07-22 01:00:26.411249,2026-07-22 01:01:34.392549,0 days 00:01:07.981300,16,2.430003696446035,0.6270864592846743,7.012917753810589,1,COMPLETE
58,90.06785154342651,50.07080435752869,0.007453231228282675,241.17956614494324,2026-07-22 01:00:43.508054,2026-07-22 01:04:47.550999,0 days 00:04:04.042945,55,4.120627050487075,0.4519896127793178,2.60741166246899,1,COMPLETE
59,89.79356288909912,36.79649531841278,0.0,173.73042035102844,2026-07-22 01:00:57.390932,2026-07-22 01:03:53.334660,0 days 00:02:55.943728,35,1.5945740549310563,0.4519896127793178,8.108652160780288,1,COMPLETE
60,85.72253584861755,14.158076047897339,0.0,32.90547752380371,2026-07-22 01:00:59.787565,2026-07-22 01:01:36.033970,0 days 00:00:36.246405,5,6.141955403289064,0.6980705630905657,4.2081422698915345,1,COMPLETE
61,28.453877568244934,12.153518199920654,0.0,39.75460195541382,2026-07-22 01:01:02.427553,2026-07-22 01:01:44.354940,0 days 00:00:41.927387,7,7.829692481820796,1.9149951539682333,6.701980139716164,1,COMPLETE
62,40.20499587059021,19.85172927379608,0.0,75.71385598182678,2026-07-22 01:01:15.736427,2026-07-22 01:02:33.170728,0 days 00:01:17.434301,68,5.034138083750101,1.4441775674990507,3.384158328196299,1,COMPLETE
63,86.40103936195374,25.27731955051422,0.0,81.9540057182312,2026-07-22 01:01:24.796676,2026-07-22 01:02:48.475216,0 days 00:01:23.678540,14,7.66593846827967,0.7351893431211167,4.126938406982976,1,COMPLETE
64,28.425005078315735,13.59630674123764,0.0,33.72155141830444,2026-07-22 01:01:34.408292,2026-07-22 01:02:11.664136,0 days 00:00:37.255844,61,5.733155863765507,1.7783866086500228,3.3739420980196586,1,COMPLETE
65,89.85130786895752,38.879722356796265,0.009167583630187437,115.17050552368164,2026-07-22 01:01:36.050749,2026-07-22 01:03:34.078459,0 days 00:01:58.027710,31,4.2256176430122245,0.5043662664809249,4.208851981590963,1,COMPLETE
66,81.52158260345459,43.236374855041504,0.009413536463398486,301.2131006717682,2026-07-22 01:01:42.142923,2026-07-22 01:06:45.280108,0 days 00:05:03.137185,61,7.028213804723255,0.8593544243300084,8.353479323709639,1,COMPLETE
67,61.16644740104675,34.27271246910095,0.0,182.5088074207306,2026-07-22 01:01:44.369311,2026-07-22 01:04:49.139837,0 days 00:03:04.770526,56,9.778578414341775,1.2081134063743835,8.914254155656284,1,COMPLETE
68,89.60589170455933,35.14471352100372,0.0,128.46118783950806,2026-07-22 01:02:11.678517,2026-07-22 01:04:23.424769,0 days 00:02:11.746252,36,1.081817835936449,0.3984961558369401,8.025188040220149,1,COMPLETE
69,26.360619068145752,14.06109631061554,0.0,42.80008292198181,2026-07-22 01:02:33.184578,2026-07-22 01:03:17.637042,0 days 00:00:44.452464,16,8.121473947821741,1.9356506235396134,4.3667241554558105,1,COMPLETE
70,83.67258310317993,7.407975196838379,0.0,26.040849685668945,2026-07-22 01:02:48.492689,2026-07-22 01:03:16.279212,0 days 00:00:27.786523,1,6.141955403289064,0.6980705630905657,2.60741166246899,1,COMPLETE
71,60.08372902870178,22.73208647966385,0.0,75.41800618171692,2026-07-22 01:03:16.293759,2026-07-22 01:04:33.362770,0 days 00:01:17.069011,15,8.121473947821741,1.0933511125239332,4.687551622443685,1,COMPLETE
72,67.34517216682434,32.17032849788666,0.013736264372710139,161.80965065956116,2026-07-22 01:03:17.653140,2026-07-22 01:06:01.679153,0 days 00:02:44.026013,43,5.289064082946904,1.083784159821556,9.19481665138699,1,COMPLETE
73,24.397285282611847,11.990049481391907,0.0,26.072592735290527,2026-07-22 01:03:34.095307,2026-07-22 01:04:03.657487,0 days 00:00:29.562180,71,7.028213804723255,1.884800222518321,2.60741166246899,1,COMPLETE
74,89.17280435562134,30.283978581428528,0.0,101.85146880149841,2026-07-22 01:03:53.350219,2026-07-22 01:05:37.557578,0 days 00:01:44.207359,47,1.1304527148995884,0.6370736237537533,2.943528067756758,1,COMPLETE
75,70.98311185836792,30.850213766098022,0.0,62.36058259010315,2026-07-22 01:04:03.673629,2026-07-22 01:05:09.108911,0 days 00:01:05.435282,20,7.324614763768046,0.9183762180047641,2.2250919111103125,1,COMPLETE
76,68.45676302909851,17.703191936016083,0.0,38.30008101463318,2026-07-22 01:04:23.443953,2026-07-22 01:05:04.707365,0 days 00:00:41.263412,8,9.99684158589129,0.9150950734843799,4.416219982059779,1,COMPLETE
77,86.64645552635193,22.267156839370728,0.0,69.53145742416382,2026-07-22 01:04:33.378789,2026-07-22 01:05:44.937173,0 days 00:01:11.558384,11,8.949276453434754,0.7184510103017717,4.079054538989914,1,COMPLETE
78,88.30662369728088,21.163956820964813,0.0,58.87755751609802,2026-07-22 01:04:47.567237,2026-07-22 01:05:48.503756,0 days 00:01:00.936519,9,5.173282583004196,0.6980705630905657,3.0993556084637444,1,COMPLETE
79,60.314708948135376,32.93687105178833,0.0,178.54790592193604,2026-07-22 01:04:49.156768,2026-07-22 01:07:50.131778,0 days 00:03:00.975010,61,6.141955403289064,1.1825429745596934,6.873535337591807,1,COMPLETE
80,75.02526640892029,13.442151248455048,0.0,35.38857841491699,2026-07-22 01:05:04.723677,2026-07-22 01:05:43.362624,0 days 00:00:38.638947,7,1.5645212585886275,0.8421809263706515,8.179433700636467,1,COMPLETE
